Price,Street,Avenue,Bedrooms,Bathrooms,SquareFootage,Unit,Address
4600,21,6,1,1,532,1017,"120 W 21st St, New York, NY 10011"
4517,21,6,1,1,607,712,"120 W 21st St, New York, NY 10011"
4597,21,6,1,1,607,603,"120 W 21st St, New York, NY 10011"
4695,21,6,1,1,615,414,"120 W 21st St, New York, NY 10011"
4820,21,6,1,1,670,404,"120 W 21st St, New York, NY 10011"
4820,21,6,1,1,670,704,"120 W 21st St, New York, NY 10011"
7003,21,6,2,2,808,801,"120 W 21st St, New York, NY 10011"
7020,21,6,2,2,808,901,"120 W 21st St, New York, NY 10011"
7192,21,6,2,2,756,1207,"120 W 21st St, New York, NY 10011"
2400,20,8,0,1,500,2R,"204 8th Ave APT 2R, New York, NY 10011"
19500,21,9,3,3.5,2400,3J,"177 9th Ave #3J, New York, NY 10011"
27500,20,10,4,4,2340,N/A,"455 W 20th St, New York, NY 10011"
20000,21,11,2,2.5,2469,6A,"551 W 21st St #6A, New York, NY 10011"
7995,21,10,1,1.5,1064,3F,"551 W 21st St, New York, NY 10011"
8400,21,10,1,1.5,1521,3E,"551 W 21st St, New York, NY 10011"
9000,21,10,2,2.5,1185,1R,"445 W 21st St #1R, New York, NY 10011"
4250,22,9,1,1,825,2R,"440 W 22nd St, New York, NY 10011"
8000,22,9,2,2,1675,1C,"440 W 22nd St, New York, NY 10011"
11000,22,9,2,2,1675,2,"440 W 22nd St, New York, NY 10011"
2700,22,8,1,1,660,1,"330 W 22nd St APT 1, New York, NY 10011"
6800,22,7,3,2,1200,1FE,"216 W 22nd St APT 1FE, New York, NY 10011"
16500,22,6,4,2,3000,10B,"132 W 22nd St, New York, NY 10011"
18000,22,6,4,2,2890,11,"132 W 22nd St, New York, NY 10011"
5620,21,6,1,1,775,1207,"37 W 21st St, New York, NY 10010"
5850,21,6,1,1,813,1102,"37 W 21st St, New York, NY 10010"
7700,21,6,2,2,1097,1106,"37 W 21st St, New York, NY 10010"
8750,21,6,2,2,1004,1505,"37 W 21st St, New York, NY 10010"
4212,21,5,0,1,474,906,"7 W 21st St, New York, NY 10010"
4765,21,5,0,1,543,8A,"7 W 21st St, New York, NY 10010"
4915,21,5,0,1,543,14A,"7 W 21st St, New York, NY 10010"
10500,21,5,2,2,963,3J,"7 W 21st St, New York, NY 10010"
13200,21,5,2,2,1206,A,"7 W 21st St, New York, NY 10010"
3250,21,5,1,1,800,510,"15 E 21st St APT 510, New York, NY 10010"
5000,22,4,1,1,810,21M,"280 Park Ave S APT 21M, New York, NY 10010"
3250,21,4,0,1,605,4C,"125 W 21st St APT 4C, New York, NY 10011"
4800,21,4,1,1,1100,2,"143 W 21st St APT 2, New York, NY 10011"
4500,22,3,2,1.5,748,111,"134 E 22nd St APT 111, New York, NY 10010"
8500,22,3,2,2,1289,21C,"160 E 22nd St, New York, NY 10010"
11500,22,3,3,2,1540,12E,"160 E 22nd St, New York, NY 10010"
5550,22,3,2,1,800,LB,"210 E 22nd St APT LB, New York, NY 10010"
7695,22,3,3,2,900,6F,"220 E 22nd St APT 6F, New York, NY 10010"
6895,22,3,3,2,850,4F,"220 E 22nd St APT 4F, New York, NY 10010"
4050,21,2,1,1,860,8J,"301 E 21st St APT 8J, New York, NY 10010"
2000,22,1,1,1,500,3F,"336 E 22nd St APT 3F, New York, NY 10010"
2250,21,1,1,1,700,2W,"339 E 21st St #2W, New York, NY 10010"
2075,22,1,1,1,556,8,"379 1st Ave APT 8, New York, NY 10010"
4150,23,3,3,1,1300,4,"293 3rd Ave #4, New York, NY 10010"
6075,23,3,1,1,757,16B,"290 3rd Ave APT 16B, New York, NY 10010"
15250,22,4,2,2,1491,28B,"45 E 22nd St #28B, New York, NY 10010"
2775,22,5,1,1,750,5B,"33 E 22nd St APT 5B, New York, NY 10010"
6950,22,5,2,2,1100,30C,"5 E 22nd St APT 30C, New York, NY 10010"
2895,22,5,1,1,700,6E,"172 5th Ave APT 6E, New York, NY 10010"
18895,23,5,3,2.5,2418,4U,"186 5th Ave #4U, New York, NY 10010"
6800,23,5,1,1,850,36B,"15 Hudson Yard, New York, NY 10001"
17950,23,5,3,3,2218,31H,"15 Hudson Yard, New York, NY 10001"
32000,23,5,4,4.5,3185,84B,"15 Hudson Yard, New York, NY 10001"
26000,23,6,4,4.5,3300,10,"124 W 23rd St APT 10, New York, NY 10011"
9500,22,6,2,2.5,1894,1B,"125 W 22nd St APT 1B, New York, NY 10011"
2500,23,6,0,1,540,3D,"140 W 23rd St APT 3D, New York, NY 10011"
1975,22,7,0,1,550,A1,"221 W 22nd St APT A1, New York, NY 10011"
6200,22,9,2,2,1200,1,"351 W 22nd St #1, New York, NY 10011"
5083,23,10,1,1,770,1-07H,"Ten23, 500 W 23rd St #1-07H, New York, NY 10011"
6495,24,11,2,2,1079,S11L,"555 W 23rd St APT S11L, New York, NY 10011"
5095,23,10,1,1,650,H2P,"535 W 23rd St SPACE H2P, New York, NY 10011"
2920,24,10,0,1,600,1B,"468 W 24th St APT 1B, New York, NY 10011"
4474,24,7,1,1,672,1-03B,"160 W 24th St, New York, NY 10011"
4483,24,7,1,1,673,1-03C,"160 W 24th St, New York, NY 10011"
5212,24,7,1,1,566,1,"160 W 24th St, New York, NY 10011"
5407,24,7,1,1,566,1-17A,"160 W 24th St, New York, NY 10011"
5320,24,7,1,1,755,1-04E,"160 W 24th St, New York, NY 10011"
5382,24,7,1,1,542,1-17C,"160 W 24th St, New York, NY 10011"
5634,24,7,1,1,673,1-04C,"160 W 24th St, New York, NY 10011"
8438,24,7,2,1,967,1-07E,"160 W 24th St, New York, NY 10011"
2900,23,4,1,1,600,302,"303 Park Ave S APT 302, New York, NY 10010"
3496,24,4,1,1,835,5D,"124 E 24th St, New York, NY 10010"
3496,24,4,1,1,891,1D,"124 E 24th St, New York, NY 10010"
5900,24,4,3,2,1400,2B,"126 E 24th St APT 2B, New York, NY 10010"
6350,24,3,3,1,1000,8C,"144 E 24th St APT 8C, New York, NY 10010"
2300,23,3,0,1,621,407,"155 E 23rd St APT 407, New York, NY 10010"
3595,23,3,2,1,800,7H,"220 E 24th St, New York, NY 10010"
5395,23,3,3,2,850,8I,"220 E 24th St, New York, NY 10010"
2295,24,2,2,1,600,2C,"231 E 24th St #2C, New York, NY 10010"
1900,24,2,1,1,500,5B,"238 E 24th St APT 5B, New York, NY 10010"
2400,24,2,1,1,625,3D1,"245 E 24th St #3D1, New York, NY 10010"
2800,24,2,0,1,650,2R,"305 E 24th St APT 2R, New York, NY 10010"
3300,25,3,1,2,750,1C,"204 E 25th St APT 1C, New York, NY 10010"
3400,24,3,1,1,600,306,"215 E 24th St APT 306, New York, NY 10010"
12500,24,4,2,2.5,1690,4D,"10 Madison Ave #4D, New York, NY 10010"
3100,24,6,0,1,465,9D,"77 W 24th St, New York, NY 10010"
3765,24,6,0,1,465,7D,"77 W 24th St, New York, NY 10010"
5221,24,6,1,1,668,27C,"77 W 24th St, New York, NY 10010"
5509,24,6,1,1,708,30H,"77 W 24th St, New York, NY 10010"
5862,24,6,1,1,786,9C,"77 W 24th St, New York, NY 10010"
6264,24,6,1,1,744,G,"77 W 24th St, New York, NY 10010"
7401,24,6,2,2,1089,22A,"77 W 24th St, New York, NY 10010"
5500,24,6,1,1.5,855,8C,"101 W 24th St APT 8C, New York, NY 10011"
10000,25,6,0,1,4000,N/A,"743 E 6th St, New York, NY 10009"
10828,25,6,3,2,2000,2,"743 E 6th St, New York, NY 10009"
6500,24,7,1,1.5,981,4C,"245 7th Ave APT 4C, New York, NY 10001"
9500,25,7,2,2,1655,4U,"252 7th Ave, New York, NY 10001"
19000,25,7,2,3.5,2304,Y,"252 7th Ave, New York, NY 10001"
3850,25,9,1,1,740,6J,"420 W 25th St, New York, NY 10001"
6500,25,9,1,2,1199,6C,"420 W 25th St, New York, NY 10001"
2100,25,10,1,1,750,2,"464 W 25th St APT 2, New York, NY 10001"
17500,24,10,2,3,2524,10W,"245 10th Ave APT 10W, New York, NY 10001"
2815,25,9,0,1,531,18A,"401 W 25th St, New York, NY 10001"
5149,25,9,2,1,824,5I,"401 W 25th St, New York, NY 10001"
4495,26,7,1,1,649,6J,"200 W 26th St APT 6J, New York, NY 10001"
10000,26,7,3,2,1830,203,"150 W 26th St APT 203, New York, NY 10001"
3495,26,6,0,1,470,33D,"100 W 26th St, New York, NY 10001"
3995,26,6,0,1,605,17H,"100 W 26th St, New York, NY 10001"
4495,26,6,1,1,720,3D,"100 W 26th St, New York, NY 10001"
4695,26,6,1,1,735,20F,"100 W 26th St, New York, NY 10001"
3935,25,6,0,1,531,5H,"55 W 25th St, New York, NY 10010"
3935,25,6,0,1,542,5E,"55 W 25th St, New York, NY 10010"
3950,25,6,0,1,446,33A,"55 W 25th St, New York, NY 10010"
4025,25,6,0,1,532,4L,"55 W 25th St, New York, NY 10010"
4035,25,6,0,1,483,18L,"55 W 25th St, New York, NY 10010"
4080,25,6,0,1,483,21L,"55 W 25th St, New York, NY 10010"
4450,25,6,0,1,559,15M,"55 W 25th St, New York, NY 10010"
6950,25,6,1,1.5,898,27J,"55 W 25th St, New York, NY 10010"
8100,25,6,2,2,1018,G,"55 W 25th St, New York, NY 10010"
10650,25,6,2,2.5,1260,37F,"55 W 25th St, New York, NY 10010"
5000,26,6,4,1.5,1487,3,"36 W 26th St, New York, NY 10010"
6000,26,6,4,1.5,1600,5,"36 W 26th St, New York, NY 10010"
2100,26,3,1,1,500,4F,"75 Lexington Ave APT 4F, New York, NY 10010"
2600,25,3,1,1,750,3F,"71 Lexington Ave APT 3F, New York, NY 10010"
5000,26,3,1,1,600,4E,"160 E 26th St APT 4E, New York, NY 10010"
1750,25,3,0,1,600,1A,"213 E 25th St APT 1A, New York, NY 10010"
5295,25,2,1,1,815,2A,"245 W 25th St APT 2A, New York, NY 10001"
2200,26,2,2,1,800,2,"244 E 26th St APT 2, New York, NY 10010"
2995,25,2,2,1,800,4G,"311 E 25th St #4G, New York, NY 10010"
2550,25,2,2,1,850,2G,"311 E 25th St #2G, New York, NY 10010"
7075,26,2,2,1.5,954,6B,"470 2nd Ave APT 6B, New York, NY 10016"
3094,27,2,1,1,629,0-4M,"240 E 27th St, New York, NY 10016"
3199,27,2,1,1,629,0-5M,"240 E 27th St, New York, NY 10016"
3391,27,2,1,1,629,18M,"240 E 27th St, New York, NY 10016"
3147,27,2,1,1,574,0-9E,"240 E 27th St, New York, NY 10016"
3154,27,2,1,1,634,-3L,"240 E 27th St, New York, NY 10016"
3376,27,2,1,1,634,0-15L,"240 E 27th St, New York, NY 10016"
3571,27,2,1,1,634,0-27L,"240 E 27th St, New York, NY 10016"
3202,27,2,1,1,626,0-7N,"240 E 27th St, New York, NY 10016"
3478,27,2,1,1,626,0-25N,"240 E 27th St, New York, NY 10016"
3356,27,2,1,1,764,0-8B,"240 E 27th St, New York, NY 10016"
3420,27,2,1,1,764,0-3B,"240 E 27th St, New York, NY 10016"
3465,27,2,1,1,764,-4B,"240 E 27th St, New York, NY 10016"
3553,27,2,1,1,764,0-27B,"240 E 27th St, New York, NY 10016"
3448,27,2,1,1,706,0-22D,"240 E 27th St, New York, NY 10016"
3477,27,2,1,1,795,0-20A,"240 E 27th St, New York, NY 10016"
3540,27,2,1,1,795,26A,"240 E 27th St, New York, NY 10016"
3670,27,2,1,1,795,0-23A,"240 E 27th St, New York, NY 10016"
3947,27,2,1,1,941,-4F,"240 E 27th St, New York, NY 10016"
4009,27,2,1,1,941,-9F,"240 E 27th St, New York, NY 10016"
4253,27,2,1,1,941,-3F,"240 E 27th St, New York, NY 10016"
5412,27,2,2,1,1028,20G,"240 E 27th St, New York, NY 10016"
5585,27,2,2,1,1028,0-18G,"240 E 27th St, New York, NY 10016"
5791,27,2,2,1,1028,0-25G,"240 E 27th St, New York, NY 10016"
5891,27,2,2,2,1147,0-7K,"240 E 27th St, New York, NY 10016"
6285,27,2,2,2,1147,19K,"240 E 27th St, New York, NY 10016"
6512,27,2,3,2,1243,0-5J,"240 E 27th St, New York, NY 10016"
6527,27,2,3,2,1243,0-3J,"240 E 27th St, New York, NY 10016"
6714,27,2,3,2,1243,0-17J,"240 E 27th St, New York, NY 10016"
7027,27,2,3,2,1439,0-12H,"240 E 27th St, New York, NY 10016"
7232,27,2,3,2,1439,0-14H,"240 E 27th St, New York, NY 10016"
7271,27,2,3,2,1439,0-17H,"240 E 27th St, New York, NY 10016"
2250,27,3,1,1,500,7C,"160 E 27th St APT 7C, New York, NY 10016"
3300,26,3,2,1,785,3B,"362 3rd Ave APT 3B, New York, NY 10016"
3750,27,4,2,1,750,5A,"114 E 27th St APT 5A, New York, NY 10016"
8500,26,5,1,2,1375,N/A,"225 5th Ave, New York, NY 10010"
12500,26,5,2,3,1819,N/A,"225 5th Ave, New York, NY 10010"
14495,26,5,2,2.5,1591,N/A,"225 5th Ave, New York, NY 10010"
17000,26,5,2,3,1815,N/A,"225 5th Ave, New York, NY 10010"
19500,26,5,3,3,1912,N/A,"225 5th Ave, New York, NY 10010"
5800,26,6,1,1,1600,5,"35 W 26th St #5, New York, NY 10010"
4412,26,6,1,1,573,24E,"776 6th Ave, New York, NY 10001"
4577,26,6,1,1,586,34H,"776 6th Ave, New York, NY 10001"
4847,26,6,1,1,662,21A,"776 6th Ave, New York, NY 10001"
4877,26,6,1,1,668,19M,"776 6th Ave, New York, NY 10001"
4907,26,6,1,1,662,27A,"776 6th Ave, New York, NY 10001"
4927,26,6,1,1,662,29A,"776 6th Ave, New York, NY 10001"
4967,26,6,1,1,600,39E,"776 6th Ave, New York, NY 10001"
4982,26,6,1,1,573,36E,"776 6th Ave, New York, NY 10001"
5227,26,6,1,1,573,7E,"776 6th Ave, New York, NY 10001"
6217,26,6,1,1,693,7G,"776 6th Ave, New York, NY 10001"
7750,26,7,4,2,2000,2E,"165 W 26th St #2E, New York, NY 10001"
4909,27,11,1,1,769,4B,"537 W 27th St APT 4B, New York, NY 10001"
4600,28,11,1,1,781,4H,"540 W 28th St APT 4H, New York, NY 10001"
3300,28,7,0,1,612,9C,"315 7th Ave APT 9C, New York, NY 10001"
3799,27,6,0,1,446,20H,"800 6th Ave, New York, NY 10001"
3799,27,6,0,1,446,19H,"800 6th Ave, New York, NY 10001"
3949,27,6,0,1,446,36G,"800 6th Ave, New York, NY 10001"
3819,27,6,0,1,745,25A,"800 6th Ave, New York, NY 10001"
4119,27,6,0,1,745,37A,"800 6th Ave, New York, NY 10001"
3924,27,6,0,1,691,4N,"800 6th Ave, New York, NY 10001"
4608,27,6,1,1,580,16F,"800 6th Ave, New York, NY 10001"
5108,27,6,1,1,664,19D,"800 6th Ave, New York, NY 10001"
5108,27,6,1,1,664,21D,"800 6th Ave, New York, NY 10001"
5108,27,6,1,1,664,18D,"800 6th Ave, New York, NY 10001"
5133,27,6,1,1,664,25D,"800 6th Ave, New York, NY 10001"
5513,27,6,1,1,697,34C,"800 6th Ave, New York, NY 10001"
6458,27,6,1,1,729,7B,"800 6th Ave, New York, NY 10001"
3600,27,5,2,1,750,1E,"66 Madison Ave APT 1E, New York, NY 10016"
3335,28,4,0,1,440,1-6A,"50 E 28th St, New York, NY 10016"
3855,28,4,0,1,431,1-3F,"50 E 28th St, New York, NY 10016"
6970,28,4,1,1,772,1-19E,"50 E 28th St, New York, NY 10016"
8250,28,4,2,2,1293,1-18K,"50 E 28th St, New York, NY 10016"
9510,28,4,2,2,1115,1-21G,"50 E 28th St, New York, NY 10016"
9930,28,4,2,2,1318,1-22D,"50 E 28th St, New York, NY 10016"
11140,28,4,3,3,1586,1-21H,"50 E 28th St, New York, NY 10016"
4400,28,4,1,1,732,25D,"400 Park Ave S #25D, New York, NY 10016"
1995,27,4,0,1,650,2B,"104 Lexington Ave #2B, New York, NY 10016"
9995,28,3,5,3,3000,3,"384 3rd Ave #3, New York, NY 10016"
2500,28,3,1,1,890,5F,"200 E 28th St APT 5F, New York, NY 10016"
1995,28,3,0,1,500,4F,"208 E 28th St APT 4F, New York, NY 10016"
3365,27,2,1,1,515,3D,"484 2nd Ave APT 3D, New York, NY 10016"
4140,29,2,1,1,670,19E,"520 2nd Ave APT 19E, New York, NY 10016"
4100,28,2,1,1,675,15G,"247 E 28th St APT 15G, New York, NY 10016"
2900,28,2,1,1,650,5C,"239 E 28th St APT 5C, New York, NY 10016"
3495,28,3,1,1,620,15K,"201 E 28th St APT 15K, New York, NY 10016"
3000,28,3,1,1,650,2,"127 Lexington Ave APT 2, New York, NY 10016"
8246,29,5,2,2,1240,48E,"10 E 29th St, New York, NY 10016"
12067,29,5,3,3,1618,38D,"10 E 29th St, New York, NY 10016"
6600,28,5,1,1.5,915,12D,"1182 Broadway #12D, New York, NY 10001"
9000,29,6,5,2,2500,N/A,"102 W 29th St, New York, NY 10001"
6495,28,8,2,2.5,1215,7E,"261 W 28th St APT 7E, New York, NY 10001"
3198,28,10,0,1,525,N/A,"525 W 28th St, New York, NY 10001"
3545,28,10,0,1,543,N/A,"525 W 28th St, New York, NY 10001"
3580,28,10,0,1,587,N/A,"525 W 28th St, New York, NY 10001"
3610,28,10,0,1,619,N/A,"525 W 28th St, New York, NY 10001"
3710,28,10,0,1,563,N/A,"525 W 28th St, New York, NY 10001"
4183,28,10,1,1,703,N/A,"525 W 28th St, New York, NY 10001"
4336,28,10,1,1,761,N/A,"525 W 28th St, New York, NY 10001"
4355,28,10,1,1,601,N/A,"525 W 28th St, New York, NY 10001"
4515,28,10,1,1,627,N/A,"525 W 28th St, New York, NY 10001"
4675,28,10,1,1,657,N/A,"525 W 28th St, New York, NY 10001"
3125,28,11,0,1,505,N/A,"282 11th Ave, New York, NY 10001"
3355,28,11,0,1,514,N/A,"282 11th Ave, New York, NY 10001"
3495,28,11,0,1,516,N/A,"282 11th Ave, New York, NY 10001"
3620,28,11,0,1,550,N/A,"282 11th Ave, New York, NY 10001"
3844,28,11,1,1,707,N/A,"282 11th Ave, New York, NY 10001"
4350,28,11,1,1,656,N/A,"282 11th Ave, New York, NY 10001"
4730,28,11,1,1,719,N/A,"282 11th Ave, New York, NY 10001"
4865,28,11,1,1,653,N/A,"282 11th Ave, New York, NY 10001"
5795,28,11,2,2,1001,N/A,"282 11th Ave, New York, NY 10001"
6155,28,11,2,2,1185,N/A,"282 11th Ave, New York, NY 10001"
6350,28,11,2,2,1094,N/A,"282 11th Ave, New York, NY 10001"
7945,28,11,2,2,1346,N/A,"282 11th Ave, New York, NY 10001"
